Doc_ID,LHI_Score,Total_Entities,Hallucinations,Entity_List
0,1.0,9,0,
1,1.0,2,0,
2,0.9545454545454546,22,1,Writ Appeals Nos.
3,0.8571428571428572,7,1,Chitra Ghosh
4,1.0,5,0,
5,1.0,6,0,
6,1.0,12,0,
7,1.0,19,0,
8,0.8333333333333334,6,1,I.P.C.
9,0.813953488372093,43,8,"1.01; 1.02; 1.03; 1.04; 1.06; 2.03; 3.01; Union of India, [1990] Supp. 2 SCR 573"
10,1.0,11,0,
11,1.0,7,0,
12,1.0,5,0,
13,1.0,24,0,
14,1.0,31,0,
15,1.0,9,0,
16,1.0,14,0,
17,0.7692307692307692,13,3,"District Magistrate, 24 Pargana; West Bengal; West Bengal (Prevention of Violent Activities) Act, 1970"
18,0.5714285714285714,7,3,K; R; R. K
19,0.5,4,2,"Army Rules, 1954; Union of India"
20,0.85,20,3,"article 136; C.P.C.; May 15, 1964"
21,0.9285714285714286,14,1,E.L.T. 266
22,1.0,10,0,
23,1.0,1,0,
24,1.0,11,0,
25,1.0,6,0,
26,1.0,9,0,
27,1.0,8,0,
28,1.0,14,0,
29,0.9375,16,1,L
30,0.8,5,1,25.5.1989
31,1.0,9,0,
32,1.0,14,0,
33,0.9047619047619048,21,2,Indus trial Tribunal; Supreme Court
34,1.0,36,0,
35,0.9523809523809523,21,1,I.P.C. [838D]
36,1.0,22,0,
37,0.6666666666666667,9,3,Order 22 Rule 4; L; N
38,0.9722222222222222,36,1,Peti tioner Society
39,1.0,7,0,
40,1.0,6,0,
41,0.9333333333333333,15,1,Union of India
42,1.0,14,0,
43,0.875,8,1,Section 4 provided 309
44,0.9375,16,1,C.I.T.
45,0.875,8,1,A.R. Antulay vs R.S. Nayak
46,0.9444444444444444,18,1,Supreme Court
47,1.0,11,0,
48,1.0,14,0,
49,0.8666666666666667,15,2,"November 21, 1977; MFA Nos."
50,0.9285714285714286,28,2,Rule It; PWD 1974 to 1976
51,1.0,13,0,
52,0.9090909090909091,11,1,Birch vs Cropper [1889] L.R. 14 App
53,1.0,9,0,
54,0.8666666666666667,15,2,Lettera Challan Labour; Firm Radha Kishan
55,0.8846153846153846,26,3,"19.7.1969; January 5, 1968; State of Jammu and Kashmir vs 854 Haji Wali Mohammad & Ors"
56,0.8275862068965517,29,5,Held; Per Kapur; Per Sinha; Per Subba Rao; Wanchoo
57,0.8571428571428572,7,1,"Central Excise and Salt Act, 1944"
58,0.9333333333333333,75,5,"Desai; Tulzapurkar; [1959] Supp.; I SCR 806, 860 861; [312 C E] 275"
59,1.0,10,0,
60,1.0,9,0,
61,1.0,12,0,
62,0.8297872340425532,47,8,1.01; 1.03; 1.04; 1.06; 1.07; 1.08; 1.09; C.A. Nos.
