Doc_ID,LHI_Score,Total_Summary_Entities,Hallucination_Count,Hallucinated_Entities
0,0.7777777777777778,9,2,Anand Parkash Saksena vs Union of India [1968] 2 S.C.R. 611; Kishori Mohanlal Bakshi vs Union of India AIR 1962 S.C. 1139
1,0.5,2,1,Radhakrishna vs Satyanarayana
2,0.7727272727272727,22,5,"Articles 14 and 16; Department of Personnel & Training; Ministry of Personnel, Government of India; 414 415 of 1978; Writ Appeals Nos."
3,0.4285714285714286,7,4,"Chitra Ghosh; Union of India; Maneka Gandhi vs Union of India, [1978] 2 S.C.R. 621; Ramana Dayaram Shetty vs The International Airport Authority of India & Ors"
4,1.0,5,0,
5,0.5,6,3,"Mysore House Rent and Accommodation Control Act, 1951; Narayanappa vs Narasimhiah; Thanappa Chetty vs Govindaswami Naicker, A.I.R. 1952 Mad"
6,0.9166666666666666,12,1,Kamrup Division Assam
7,0.368421052631579,19,12,"Act XLVIII of 1950; Industrial Di putes Act 1947 (XIV of 1947); Industrial Disputes (Appellate Tribunal) Act, 1950; Industrial Disputes (Appellate Tribunal) Act, 1950 (XLVIII of 1950); section 33 A of the and section 23; Atherton West & Co., Ltd. vs Suti Mill Mazdoor Union ([1953] S.C.R. 780); Batuk K. Vyas vs Surat Borough Municipality ([1952]; Bhattacharji vs Parry & Co., Ltd., Calcutta ([1954]; Carlsbad Mineral Works Co., Ltd. vs Their Workmen ([1953] ,; Queen vs County Council of West Riding of Yorkshire ([1896] 1 Q.B. 386); Raj Narain vs Employer s ' Association of Northern India ([1952] 1 Lab; Serampore Belting Mazdoor Union vs Serampore Belting Co., Ltd. ([1951]"
8,0.6666666666666667,6,2,section 30 read with section 34; I.P.C.
9,0.6511627906976745,43,15,"Forest Service College; Indian Forest College; Orissa State Forest Service Class II; 1.01; 1.02; 1.03; 1.04; 1.06; 2.03; 3.01; Orissa Forest Service Class 11 Recruitment Rules; Orissa Rules; SLP (C) No. 1604/92; Appendix A. Regulation 12 (c); Union of India, [1990] Supp. 2 SCR 573"
10,0.7272727272727273,11,3,"section 483 of the 1071; Golcha Investment (P) Ltd. vs Shanti Chandra Bafna, A.I.R. 1970 S.C. 1350; Tarapose & Co. vs Cochin Shipyard Ltd., A.I.R. 1984 S.C. 1072"
11,0.8571428571428572,7,1,section 8 or a reference under
12,0.19999999999999996,5,4,"Jagatjit Distilling and Allied Industries Ltd. vs The State [28 STC 709]; Jagatjit Distilling and Allied Industries Ltd. vs The State, 28 STC 709; Vishnu Agencies (Pvt.) Ltd. vs Commercial Tax Officer; Vishnu Agencies (P) Ltd."
13,0.45833333333333337,24,13,"Code of Civil Procedure; Wakfs Act 1954; Section 6 ( 1 ); Sub section (S); clauses (a) to (f); s, 6(1); section 4(1); section 4(3 ); section 4(3); section 4(S); section 6 ( 1 ); section 6 and section 6(1); Central Board of Wakf"
14,0.6129032258064516,31,12,"Parts III and IV; A. Peeriakaruppan vs State of Tamil Nadu, [1971] 2 S.C.R. 430; E.P. Royappa vs State of Tamil Nadu, [1974] 2 S.C.R. 348; L. Aggarwal vs Hindustan Steel Ltd., [1970] 3 S.C.R. 365; Maneka Gandhi vs Union of India, [1978] 2 S.R. 621; Miss Nishi Meghu vs State of Jammu & Kashmir & Ors., [1980] 3 S.C.R. p. 1253; R. D. Shetty vs The International Airport Authority of India & Ors; R. D. Shetty vs The International Airport, Authority of India, & Ors; R.Chitra Lakha and Others vs State of Mysore and Others; Sabhajit Tewary vs Union of India & Ors; Sukhdev Singh vs Bhagat Ram, [1975] 3 S.C.R. 619; U.P. Warehousing Corporation vs Vijay Narain"
15,0.8888888888888888,9,1,". 1, Part 1, Item B"
16,0.7857142857142857,14,3,"Art, 22(5); November 5, 1980; Maneka Gandhi vs Union of India [1978] 2 SCR 621"
17,0.46153846153846156,13,7,"District Magistrate, 24 Pargana; West Bengal; section 3; sub c. (i) of c1. (a) of section 3(2); sub section; Constitution; West Bengal (Prevention of Violent Activities) Act, 1970"
18,0.2857142857142857,7,5,"K; R; R. K; Charles Dalton vs Henry Angus & Co., , 812; Tagore vs Tagore"
19,0.25,4,3,"Army Rules, 1954; Union of India; Prithi Pal Singh Bedi vs Union of India & Ors., [1982] 3 SCC 140"
20,0.55,20,9,"article 136; clause 6 of Regulation 2; clauses 6; order 21 Rules 89 and 90 and Section 47 and 151; C.P.C.; Orissa Scheduled Areas Transfer of Immovable Property by Scheduled Tribes Regulation 2 of 1956; Orissa Scheduled Areas Transfer of Immovable Property by Scheduled Tribes Regulation 3 of 1956; May 15, 1964; Orissa Regulation 2 of 1956"
21,0.9285714285714286,14,1,E.L.T. 266
22,0.8,10,2,section 469; Om Prakash Gupta vs The State Of U.P.
23,0.0,1,1,Ramijyabi Muktum Saheb vs Gudusaheb
24,0.8181818181818181,11,2,"r. 3o(a); United Khasi jaintia Hills Autonomous District (Appointment and Succession of Chiefs and Headmen) Act, 1959"
25,0.5,6,3,sub rule (IV) of Rule 13; Rain Awadesh Singh vs Smt; Rangila Chowdhury vs Dultu Sen & Ors
26,0.5555555555555556,9,4,"Central Excise and Salt Act, 1944 (Excise Act); Customs Act; Customs Act); Hoosein Kasam Dada (India) Ltd, vs The State of Madhya Pra desh"
27,0.75,8,2,"Madras General Sales Tax Act, 1939 (IX of 1939); Rule 5"
28,0.9285714285714286,14,1,Section 33C (2)
29,0.5625,16,7,"L; a. 302/149; Code of Criminal Procedure; Barendra Kumar Ghosh vs Emperor, I.L.R. , Queen vs Sabid Ali and Ors; State of Andhra Pradesh vs Thadi Narayana, A.I.R. 1962 section C. 240; Suraj Pat vs State of Uttar Pradesh, (19551 1 S.C.R. 1332; [1873] 20 W.R. (Cr.) 5 Nanak Chand vs State of Punjab"
30,0.8,5,1,25.5.1989
31,0.8888888888888888,9,1,442 Girdhari Lal Amrit Lal vs State
32,1.0,14,0,
33,0.7142857142857143,21,6,"Indus trial Tribunal; Supreme Court; Bangalore Water Supply & Swerage Board v .R. Rajappa and Ors; Corporation of the City of Nagpur vs Its employees; Indian Link Chain Manufacturers Ltd. vs Their Workmen, [1972] I SCR 790; Management of Safdar jung Hospital vs Kuldip Singh Sethi"
34,0.8055555555555556,36,7,17.6.1969; Clause (a) of sub section (1) of section 105B; Section 105A(d); clause (a) (ii) of sub section (1) of section 105B. [843D G] 9; clause (a) or clause (c) of sub section (1) of section 105B. [842D] 7; clauses (6) and (2); section 195B
35,0.7619047619047619,21,5,"Sec tion 202; Supreme Court (Enlargement of General Appellate Jurisdiction) Act, 1970; Harishchandrasing Sajjansingh Rathod and Another vs State of Gujarat; I.P.C. [838D]; Kalidas Achamma vs The State ofA.P S.H.O. Karimnagar, I Town P.S."
36,0.4545454545454546,22,12,"Bombay Tenancy and Agricultural Lands Act; Bombay Tenancy and Agricultural Lands Rules 1956; A.K. Bhaskar vs Advocate General AIR 1962 Kerala 90; AIR 1953 S.C. 53; Abdul Kasim vs Md. Dawood AIR 1961 Mad; Joseph Constantine Steamship Line Ltd. vs Imperial Smelting Corporation Ltd. at 168; Putali Mehati vs Tulia I.L.R. and Pethaparu mal vs Murugandi; Satyabrata Ghose vs Mugneeram Bangur & Co. & Anr; Shantanand vs Advocate General AIR 1955 All. 372; Shrimali Lal vs Advocate General AIR 1955 Raj. 166; State of Madras vs C.P. Sarathy & Anr; Tamplin Steamship Co. Lid vs Anglo Mexican Petroleum products Co. Ltd. , 403"
37,0.4444444444444444,9,5,Government of Punjab; Order 22 Rule 4; Code of Civil Procedure; L; N
38,0.75,36,9,"Peti tioner Society; State of Assam; Bidhart; clause I of Article 230; section 16(Gha); Constitu tion of India; Constitution (Bidhan); management and control) Ordinance, 1984; Damyanti Narang vs The Union of India and others"
39,0.7142857142857143,7,2,"Himachal Pradesh Administration vs Shri Om Prakash, Cr.; Appeal No. 67 of 1969"
40,0.33333333333333337,6,4,Bhuysawal railway station; Sections 27(a)(ii) and 28; section 27(a)(i)(ii) read with section 18(c); Drugs and Cosmeties Act
41,0.6,15,6,"Entry 84 List I of the VII Schedule; proviso to that section; Hyderabad Abkari Act, 1316 F; Medical Preparation and Spirituous Rules, 1345 F; Toilet Preparations (Excise Duties) Act, 1955; Union of India"
42,0.6428571428571428,14,5,"Central Board of Excise; items 12 and l 3; r. 42; r. 8(1); Excise Act, 1944"
43,0.75,8,2,"Section 4 provided 309; Madras irrigation Tanks (Improvement) Act, 1949"
44,0.25,16,12,"section 5 (7) (xiv); section 5(1); section 5(1)(xiv); Partnership Act; C.I.T.; State of Travancore Cochin; Chanmugha Vilas Cashew Nut Factory & Ors; B. W. Noble Ltd. vs Mitchell; Commissioner of Gift Tax vs Dr. Grorge Kuruvilla; Commissioner of Gift Tax, Kerala vs Dr. George Kuruvilla; Morgan vs Tate & Lyle Ltd. 35 T.C. 367, 378; West Bengal T. Birla Cotton Spinning & Weaving Mills Ltd."
45,0.125,8,7,"A.R. Antulay vs R.S. Nayak; Chhota Nagpur Banking Association vs C.T.M. Smith, [1943] Patna 325; Jamnomal Gurdinomal vs Gopaldas, AIR 1924 Sind 101; Janak Raj vs Gurdial Singh; R. Raghavachari vs M.A. Pekkiri Mahomed Rowther, AIR 1917 Mad 250; Rodger vs The Comptoir De Paris, [1869 71] LR 3 PC; Sardar Govindrao Mahadik vs Devi Sahai"
46,0.5,18,9,"C.A. No. 145 of 1976; CA 1665 of 1974; CA No. 145 of 1976; CA No. 1665 of 1974; Commissioner of Income tax, Kanpur vs British India Corporation (P) Ltd. 92 TIRE 38; Vazir Sultan Tobacco Co. Ltd. vs Commissioner of Income Tax [1981] 132 TIRE, 559; Vazir Sultan Tobacco Co. Ltd. vs Commissioner of Income Tax, [ ]981]; 409 Second Schedule; Supreme Court"
47,0.9090909090909091,11,1,U.P. Legislative Assembly Constituency (No. 293)
48,0.9285714285714286,14,1,Mithoo Shahani vs Union of India
49,0.5333333333333333,15,7,"s 4(1); section 4(1); section 9(2); November 21, 1977; MFA Nos.; Oriental Gas Co. Ltd & Ors vs State of West Bengal; Vyricherla Narayana Gajapatiraju vs Revenue Divisional Officer, Vizagapatnam, LR (1939)66 IA 104"
50,0.6785714285714286,28,9,"Department of Works and Buildings of the State Government; Direct Recruit Class II Engineering Officers ' Association; Irrigation and Waterways Department 920; State Public Service Commission; Rule It; PWD 1974 to 1976; Constitution Bench; ,[1990] 2 SCR 900; A. Janardhana vs Union of India & Ors"
51,0.15384615384615385,13,11,"section 28(1)(c); 447 Commissioner of, Income tax, Ahmedabad vs; C. A. Abraham vs Income tax officer; Commissioner of Income Tax Bihar and Orissa vs Mohan Mallah; Commissioner of Income tax, Ahmedabad vs Gokuldas Harivallabhdas; Fattorini (Thomas) (Lanchashire) Ltd. vs Inland Revenue Commissioner, (1943) (11) I.T.R. Supp. 50; Hindustan Steel Ltd. vs State of Orissa, C.As; Lal Chand Gopal Das vs Commissioner of Income tax, U.P.; Moman Rain Ram Kumar vs Commissioner of Income tax, U.P.; dt. 4 8 1969; Gokuldas Harivallabhdas"
52,0.36363636363636365,11,7,"Rule I of Second Schedule; s.2 (9); s.27; Birch vs Cropper [1889] L.R. 14 App; Commissioner of Income tax vs Girdhars and Co. Private Ltd; Commissioner of Inland Revenue vs George Burrell, 1924 2 [K.B.] 52, 63; Commissioners of Income tax, Bangalore vs B.C. Srinivasa Setty"
53,0.4444444444444444,9,5,"section I 23; Bhugwandeen Doobey vs Myna Baee, (1868) II M. 1; Debi Mangal Prasad Singh vs Mahadeo Prasad Singh, (1912) L. R. 39 1; Ganga Bisheshar vs Pirthi Pal, (1880); L. R. 2 All. 635"
