Doc_ID,LHI_Score,Total_Summary_Entities,Hallucination_Count,Hallucinated_Entities
0,0.8888888888888888,9,1,Kishori Mohanlal Bakshi vs Union of India AIR 1962 S.C. 1139
1,0.5,2,1,Radhakrishna vs Satyanarayana
2,0.7727272727272727,22,5,"Articles 14 and 16; Department of Personnel & Training; Ministry of Personnel, Government of India; 414 415 of 1978; Writ Appeals Nos."
3,0.5714285714285714,7,3,"Chitra Ghosh; Union of India; Maneka Gandhi vs Union of India, [1978] 2 S.C.R. 621"
4,1.0,5,0,
5,0.6666666666666667,6,2,"Narayanappa vs Narasimhiah; Thanappa Chetty vs Govindaswami Naicker, A.I.R. 1952 Mad"
6,0.9166666666666666,12,1,Kamrup Division Assam
7,0.7894736842105263,19,4,"Industrial Di putes Act 1947 (XIV of 1947); Industrial Disputes (Appellate Tribunal) Act, 1950; section 33 A of the and section 23; Carlsbad Mineral Works Co., Ltd. vs Their Workmen ([1953] ,"
8,0.8333333333333334,6,1,I.P.C.
9,0.7209302325581395,43,12,"Forest Service College; Indian Forest College; 1.01; 1.02; 1.03; 1.04; 1.06; 2.03; 3.01; Orissa Rules; SLP (C) No. 1604/92; Union of India, [1990] Supp. 2 SCR 573"
10,0.8181818181818181,11,2,"section 483 of the 1071; Tarapose & Co. vs Cochin Shipyard Ltd., A.I.R. 1984 S.C. 1072"
11,0.8571428571428572,7,1,section 8 or a reference under
12,0.8,5,1,Vishnu Agencies (Pvt.) Ltd. vs Commercial Tax Officer
13,0.875,24,3,clauses (a) to (f); section 6 and section 6(1); Central Board of Wakf
14,0.8064516129032258,31,6,"Parts III and IV; E.P. Royappa vs State of Tamil Nadu, [1974] 2 S.C.R. 348; L. Aggarwal vs Hindustan Steel Ltd., [1970] 3 S.C.R. 365; Maneka Gandhi vs Union of India, [1978] 2 S.R. 621; Miss Nishi Meghu vs State of Jammu & Kashmir & Ors., [1980] 3 S.C.R. p. 1253; Sukhdev Singh vs Bhagat Ram, [1975] 3 S.C.R. 619"
15,0.8888888888888888,9,1,". 1, Part 1, Item B"
16,0.7857142857142857,14,3,"Art, 22(5); November 5, 1980; Maneka Gandhi vs Union of India [1978] 2 SCR 621"
17,0.5384615384615384,13,6,"District Magistrate, 24 Pargana; West Bengal; sub c. (i) of c1. (a) of section 3(2); sub section; Constitution; West Bengal (Prevention of Violent Activities) Act, 1970"
18,0.4285714285714286,7,4,K; R; R. K; Tagore vs Tagore
19,0.5,4,2,"Army Rules, 1954; Union of India"
20,0.8,20,4,"article 136; clause 6 of Regulation 2; C.P.C.; May 15, 1964"
21,0.9285714285714286,14,1,E.L.T. 266
22,1.0,10,0,
23,1.0,1,0,
24,0.9090909090909091,11,1,r. 3o(a)
25,0.8333333333333334,6,1,sub rule (IV) of Rule 13
26,0.8888888888888888,9,1,"Central Excise and Salt Act, 1944 (Excise Act)"
27,1.0,8,0,
28,1.0,14,0,
29,0.5625,16,7,"L; a. 302/149; Code of Criminal Procedure; Barendra Kumar Ghosh vs Emperor, I.L.R. , Queen vs Sabid Ali and Ors; State of Andhra Pradesh vs Thadi Narayana, A.I.R. 1962 section C. 240; Suraj Pat vs State of Uttar Pradesh, (19551 1 S.C.R. 1332; [1873] 20 W.R. (Cr.) 5 Nanak Chand vs State of Punjab"
30,0.8,5,1,25.5.1989
31,1.0,9,0,
32,1.0,14,0,
33,0.9047619047619048,21,2,Indus trial Tribunal; Supreme Court
34,0.9722222222222222,36,1,clauses (6) and (2)
35,0.9523809523809523,21,1,I.P.C. [838D]
36,0.6818181818181819,22,7,"A.K. Bhaskar vs Advocate General AIR 1962 Kerala 90; Abdul Kasim vs Md. Dawood AIR 1961 Mad; Putali Mehati vs Tulia I.L.R. and Pethaparu mal vs Murugandi; Shantanand vs Advocate General AIR 1955 All. 372; Shrimali Lal vs Advocate General AIR 1955 Raj. 166; State of Madras vs C.P. Sarathy & Anr; Tamplin Steamship Co. Lid vs Anglo Mexican Petroleum products Co. Ltd. , 403"
37,0.4444444444444444,9,5,Government of Punjab; Order 22 Rule 4; Code of Civil Procedure; L; N
38,0.8888888888888888,36,4,Peti tioner Society; State of Assam; Bidhart; Constitution (Bidhan)
39,1.0,7,0,
40,0.8333333333333334,6,1,Sections 27(a)(ii) and 28
41,0.8,15,3,"proviso to that section; Toilet Preparations (Excise Duties) Act, 1955; Union of India"
42,0.7142857142857143,14,4,"Central Board of Excise; r. 42; r. 8(1); Excise Act, 1944"
43,0.875,8,1,Section 4 provided 309
44,0.625,16,6,"Partnership Act; C.I.T.; State of Travancore Cochin; Chanmugha Vilas Cashew Nut Factory & Ors; Morgan vs Tate & Lyle Ltd. 35 T.C. 367, 378; West Bengal T. Birla Cotton Spinning & Weaving Mills Ltd."
45,0.5,8,4,"A.R. Antulay vs R.S. Nayak; R. Raghavachari vs M.A. Pekkiri Mahomed Rowther, AIR 1917 Mad 250; Rodger vs The Comptoir De Paris, [1869 71] LR 3 PC; Sardar Govindrao Mahadik vs Devi Sahai"
46,0.6666666666666667,18,6,C.A. No. 145 of 1976; CA 1665 of 1974; CA No. 145 of 1976; CA No. 1665 of 1974; 409 Second Schedule; Supreme Court
47,1.0,11,0,
48,0.9285714285714286,14,1,Mithoo Shahani vs Union of India
49,0.7333333333333334,15,4,"section 9(2); November 21, 1977; MFA Nos.; Oriental Gas Co. Ltd & Ors vs State of West Bengal"
50,0.7857142857142857,28,6,"Department of Works and Buildings of the State Government; Rule It; PWD 1974 to 1976; Constitution Bench; ,[1990] 2 SCR 900; A. Janardhana vs Union of India & Ors"
51,0.6923076923076923,13,4,"447 Commissioner of, Income tax, Ahmedabad vs; C. A. Abraham vs Income tax officer; dt. 4 8 1969; Gokuldas Harivallabhdas"
52,0.7272727272727273,11,3,"s.27; Birch vs Cropper [1889] L.R. 14 App; Commissioner of Inland Revenue vs George Burrell, 1924 2 [K.B.] 52, 63"
53,0.8888888888888888,9,1,L. R. 2 All. 635
54,0.7333333333333334,15,4,"Lettera Challan Labour; Hari Kishan vs Administrator, Municipal Committee, Ludhiana; Pyx Granite Co. Ltd. vs Ministry of Housing and Local Government , Raleigh Investment Co. Ltd. vs Governor General in Council, 74 I.A, 50, Firm and; Firm Radha Kishan"
55,0.8461538461538461,26,4,"State of Jammu and Kashmir; 19.7.1969; January 5, 1968; State of Jammu and Kashmir vs 854 Haji Wali Mohammad & Ors"
56,0.7241379310344828,29,8,"O. 11, r. 19(2); O. 14, r. 4, and O. 11, r. 14; Constitution of India; Held; Per Kapur; Per Sinha; Per Subba Rao; Wanchoo"
57,0.8571428571428572,7,1,"Central Excise and Salt Act, 1944"
58,0.8533333333333333,75,11,"section 3 read with section 1(2); Fortyfourth Amendment Act; Desai; Chand vs Union of India , 1096; Maneka Gandhi, [1978]2 SCR 621; R.C. Cooper vs Union of India, [I 9701 3 SCR 530, 559; Sambhu Nath Sarkar, [1974] 1 SCR I; Union of India vs T.R. Verma, [1958] SCR 499, 507 and Kherr; [1959] Supp.; I SCR 806, 860 861; [312 C E] 275"
59,0.9,10,1,"Textile Traders Syndicate Ltd. vs The State of U. P., A.I.R. 1959 All. 337"
60,0.7777777777777778,9,2,S.L. Hegde; M.B. Tirumale [1960] (1) SCR 890
61,0.5,12,6,"Basant Singh vs Kunwar Brij Rai Saran Singh, 62 I.A. 180; Ghulam Mohammad vs Ball, A.I.R. (18) 1931 Lab. 641; Mt. Fatima vs Sharaf Din, A.I.R. (33) 1946 Lab. 426; Muhammad Khalil vs Mohammad Baksh; Vaishnoo Ditt vs Rameshri, (1928) L.R. 55 I.A, 407; Zakar Hussain vs Ghulam Faima, A.I.R. (14) 1927 Lab. 261"
62,0.7021276595744681,47,14,"United Provinces Act, 1916; 1.01; 1.03; 1.04; 1.06; 1.07; 1.08; 1.09; C.& No. 717 of 1993; C.A. Nos.; Prem Kumar Balmiki vs State of U.P. (W.P. No. 1067 of 1991; Prem Kumar Balmiki vs State of U.P. Writ Petition No. 1067 of 1991; Rama Mishra vs State of U.P. (Writ Petition No. 11114 of 1990; Rama Mishra vs State of U.P. Writ Petition No. 11 114 of 1990"
63,0.75,28,7,"Ganpat Ram Sharma; Jaywant section Kulkarni & Ors.; Gayatri Devi, [1987] 3 SCC P. 576; Prabhudas Sivlal; Hem Prabha Ganguli & Ors., [1989] 3 S.C.C.P. 145; Latham vs R. Johnson & Newhew Ltd., (408); Latham vs R. Johnson and Nephew Ltd., (408)"
64,0.7301587301587302,63,17,"List II; art 31(2); article 19(1)(f)has been; article 19(1)(f)in the; entry 589 No. 33 of List I; section '4 the new section 37; sub clause (b) of cl.; Supreme Court; Ministry of State; West Bengal Legislative ASsembly; Bihar Zamindari; A.K. Gopalan vs The State of Madras ([1950] S.C.R. 88; Chiranjit Lal Chauduri vs The Union of India and Others ([1950] S.C.R. 869; Ioseph Hurtado V. People of California (1883) (10 U.S. 516); Noble State Bank vs Haskeli ; , Eubank vs Richmond (226 U.S. 137); Ram Singh vs The State of Madras ([1951] S.C.R. 451); State of Madras vs V.G. Row ([1952] S.C.R. 597)"
65,0.6818181818181819,22,7,"Devi Prasad Sri Krishna Prasad Ltd. vs Secretary of State, I. L. R. (1941) All. 741; Government vs Lal Nanhoo Mal Gupta; Moreshwar Pangarkar vs State of Bombay; R. (1960) All. 420; R. (1960) Pat.,; Secretary of State vs G.T. Sarin and Co.; State of U.P. vs Manbodhan Lal Srivastava, (1958) section C. R. 533"
66,1.0,6,0,
67,0.6923076923076923,13,4,"19681 I SCR 237; Dr .Sushma Sharma vs State of Rajasthan, [1985] Supp; S.N.A. Samiti, Varanasi vs State of U.P.,[1987]2 SCR 453; Union of India vs M/s. P. Match Works [1975]2 SCR 573 Jagdish pandey vs The chancellor, University of Bihar"
68,0.5,2,1,"Vide Vaghoji vs Camaji, I.I. R. 117O"
69,0.8421052631578947,19,3,"31(3); Uttar Pradesh Act 20 of 1976; Uttar Pradesh Imposition of Ceiling on Land (Amendment) Act, 1976 (Act 20 of 1976)"
70,0.8,10,2,Per Sharma; Supreme Court
71,0.9285714285714286,14,1,Pushpabai Purshottam Udeshi vs Ranjit Ginning and Pressing Co.
72,0.8333333333333334,12,2,s.3(2); Additional District Magistrate
73,0.8484848484848485,33,5,section 302 read with section 34; Cr; I.P.C.; Maneka Gandhi [1978] 2 S.C.R. 621; [1944] F.C.R. Vol.6 61
74,0.9375,16,1,"June 15, 1q953,"
75,0.7083333333333333,24,7,"Supreme Court; Meritime Electric Co. Ltd. vs Genral Dairies Ltd., A.I.R. 1937 PC 114; State of U.P and Anr v Anand Swarup; Yaswant Deorao Deshmukh vs; Walchand Ramchand Kothari; S.C.R. 769 @ 773; Sec. 66"
76,0.7272727272727273,22,6,Calcutta and Patna High Courts; C.P.C.; Constitution of India; 18 7 73; OCM 7/73; Offutt vs U.S.p.11
77,0.6,10,4,East Punjab Evacuees ' (Administration of Property) Act; East Punjab Evacuees ' (Administration of Property) Act of 1947; Evacuee Property Law; con 1114
78,0.5,18,9,"Brahmin; S; L; R; 1956 Act; Mitakshara law; Supreme Court; section 12 V. 1, 2 and 3; Kameshwaramma vs Subramanyam A.I.R. 1959 Andhra Pradesh 269"
79,0.8,10,2,"section 31 of the , and rr. 58 and 59; Greenbaum"
80,0.8421052631578947,19,3,clause (c) of sub section (2) of section 100; India; Theberge vs Laudry ( [1876 771 2 A.C. 102)
81,0.6666666666666667,15,5,State of Bombay; r. 1 (ii); sections 4 and 7; sections 4 or 7; sections 59 to 63
82,0.75,24,6,Ant; Shantilal Rampuria; Tara Chand; Karnataka Rent Act; Ram Prasad; Vega Trading Corpn
83,1.0,11,0,
84,0.8636363636363636,22,3,Gurbachan Singh; section 147 or section 148 and section 324 read with section 149; AIR 1957 SC 623
85,0.7142857142857143,28,8,"Chingleput District; Chingleput Traders; K. Ramaswamy vs Government of Tamil Nadu (Writ Appeal No. 368 of 1981; K.N. Guruswamy vs Stare of Mysore,[1955] 1 S.C.R. 305; M/s Hochtief Gammon vs State of Orissa, [1976] 1 S.C.R. 667; Mac Innes vs Onslow Fane & Anr; State of Tamil Nadu vs C. Vadiappan, [1982] 2 Mad; Lotus Hotels Pvt. Ltd."
86,0.8333333333333334,6,1,Industrial Disputes Act
87,0.9285714285714286,14,1,"Bajranglal Laduram vs Agarwal Brothers, A.I.R. 1950 Cal"
88,0.8125,16,3,"Bombay City vs Tata Locomotive & Engineering Co. Ltd.; Mysore vs Canara Bank Ltd.; Income Tax Act, 1922"
89,0.9411764705882353,17,1,Indian Penal Code
90,1.0,37,0,
91,0.7692307692307692,13,3,Section 482; Sections 437(5) or 439(2); Code of Civil Procedure
92,0.7924528301886793,53,11,"Madras Hereditary Village Offices Act, 1895; Ordinance No. 7 of 1984, 13 of 1984, 18 of 1984 and 21 of 1984; clause 3; clause 4; clause 5; State of Mysore & Ors, (A.I.R. ,; State of Orissa vs Bhupendra Kumar Bose, [1962] 2 Supp. 380; State of Tamil Nadu & Ors., 11982] 3 S.C.R. 628; Steavenson vs Oliver 151 English Reports 1024; 19821 I S.C.R. 947; A.l.R. 1966 S.C.C. 1571"
93,1.0,3,0,
94,0.6,5,2,"Section 19(1), and (2); Supreme Court.[600B.C"
95,0.8461538461538461,13,2,FERA; S 280ZC
96,1.0,3,0,
97,0.75,20,5,"Tea Act; Per Ayyangar; M. R. K. Abdul Salem and Company vs Government of Madras, 13 S.T.C. 629; State of Madras vs Gurviah Naidu and Co. Ltd. A.I.R. 1956 S.C. 158; State of Madras vs Gurviah Naidu and Company Ltd. A.I.R. 1956 S.C. 158"
98,0.9444444444444444,18,1,"Industrial Employment (Standing Orders) Act, 1948"
99,0.875,16,2,Happy Homes and Hotels Pvt. Ltd.; sub section
100,0.8333333333333334,6,1,C.A. No. 684 Of I957
101,0.8666666666666667,15,2,"Ministry of Defence, Department of Production; col umns 10 and 11"
102,0.9,10,1,North Eastern Region
103,1.0,4,0,
104,0.9166666666666666,12,1,"Mayne,11th Edition 364"
105,0.8888888888888888,27,3,Section 32(IV); Section 73A; Department of the Central Government
106,1.0,7,0,
107,0.9444444444444444,18,1,S.C.R. 133
108,0.33333333333333337,3,2,Order XL; Supreme Court
109,1.0,5,0,
110,0.9047619047619048,21,2,409 Held; Per Subba Rao
111,0.8,5,1,"Tata Iron and Steel Co. Ltd. vs The State of Bihar, [1963] Supp. 1 SCR 199"
